,x,y,z,r_dist,r,uni,passes,residence_time,burnup
0,-5.65854,-26.878,32.0,42.171625044946985,2,u_fuel_pebble,4,128.0,38.4
1,0.0,-26.878,32.0,41.790272600211644,2,u_fuel_pebble,2,48.0,14.399999999999999
2,5.65854,-26.878,32.0,42.171625044946985,2,u_fuel_pebble,5,168.0,50.4
3,-14.1463,-24.0488,32.0,42.455418795838064,2,u_fuel_pebble,4,128.0,38.4
4,-8.4878,-24.0488,32.0,40.919280666697944,2,u_fuel_pebble,2,48.0,14.399999999999999
5,-2.82927,-24.0488,32.0,40.12916084561076,2,u_fuel_pebble,5,168.0,50.4
6,2.82927,-24.0488,32.0,40.12916084561076,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
7,8.4878,-24.0488,32.0,40.919280666697944,2,u_fuel_pebble,2,48.0,14.399999999999999
8,14.1463,-24.0488,32.0,42.455418795838064,2,u_fuel_pebble,3,88.0,26.4
9,-16.9756,-21.2195,32.0,41.98140273513976,2,u_fuel_pebble,2,48.0,14.399999999999999
10,-11.3171,-21.2195,32.0,40.02928843559425,2,u_fuel_pebble,5,168.0,50.4
11,-5.65854,-21.2195,32.0,38.81090381814884,2,u_fuel_pebble,2,48.0,14.399999999999999
12,0.0,-21.2195,32.0,38.39618705353436,2,u_fuel_pebble,2,48.0,14.399999999999999
13,5.65854,-21.2195,32.0,38.81090381814884,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
14,11.3171,-21.2195,32.0,40.02928843559425,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
15,16.9756,-21.2195,32.0,41.98140273513976,2,u_fuel_pebble,4,128.0,38.4
16,-19.8049,-18.3902,32.0,41.8859585069985,2,u_fuel_pebble,3,88.0,26.4
17,-14.1463,-18.3902,32.0,39.52615918262234,2,u_fuel_pebble,5,168.0,50.4
18,-8.4878,-18.3902,32.0,37.87139032145506,2,u_fuel_pebble,3,88.0,26.4
19,-2.82927,-18.3902,32.0,37.016269730658976,2,u_fuel_pebble,1,7.999999999999999,2.3999999999999995
